koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
CANDIDATE,,0,0,0,0,2.42186898,,,132.7886605,,,,,,6.22,,,,,,,,,,,,,,1.0,,,,,,,,,,294.6015,43.159935,13.583
CANDIDATE,1.0,0,0,0,0,10.00506974,9.31e-05,-9.31e-05,136.83029,0.00853,-0.00853,0.148,0.305,-0.148,3.481,0.244,-0.244,143.0,14.1,-14.1,1.11,0.3,-0.15,849.0,122.48,99.12,-41.68,11.4,1.0,5912.0,158.0,-175.0,4.453,0.098,-0.182,0.924,0.255,-0.127,286.54041,38.3326,14.634
CONFIRMED,1.0,0,0,0,0,8.689301216,9.8e-06,-9.8e-06,133.661284,0.000867,-0.000867,0.029,0.379,-0.029,2.563,0.0313,-0.0313,1120.0,17.4,-17.4,2.92,0.6,-0.42,782.0,88.24,59.32,-31.32,70.9,1.0,5211.0,181.0,-163.0,4.447,0.12,-0.18,0.895,0.186,-0.129,298.60788,46.453678,14.548
FALSE POSITIVE,0.0,0,1,0,0,22.84156293,4.13e-05,-4.13e-05,138.632,0.00149,-0.00149,1.267,69.51,-0.051,2.5997,0.0692,-0.0692,2940.0,72.5,-72.5,30.0,5.56,-2.98,557.0,22.78,13.6,-6.39,47.6,1.0,5381.0,175.0,-159.0,4.538,0.051,-0.119,0.826,0.153,-0.082,296.52243,43.363369,15.911
FALSE POSITIVE,0.0,0,1,0,0,1.890227354,8.63e-07,-8.63e-07,131.678589,0.000365,-0.000365,0.957,0.214,-0.116,3.855,0.0238,-0.0238,112000.0,522.0,-522.0,42.05,7.17,-3.29,1236.0,551.66,297.99,-136.14,252.0,1.0,5356.0,159.0,-159.0,4.589,0.035,-0.119,0.78,0.133,-0.061,285.03131,45.380451,15.569
CONFIRMED,1.0,0,0,0,0,1.569066598,3.06e-06,-3.06e-06,133.04032,0.00171,-0.00171,0.097,0.358,-0.097,2.7803,0.0469,-0.0469,147.0,3.5,-3.5,1.68,0.28,-0.34,1849.0,2763.39,1157.65,-1098.21,48.7,1.0,5821.0,69.0,-87.0,4.172,0.162,-0.108,1.395,0.228,-0.279,292.04437,46.329029,13.93
CONFIRMED,0.999,0,0,0,0,8.07127043,5.17e-05,-5.17e-05,137.76604,0.00577,-0.00577,0.271,0.192,-0.271,2.393,0.156,-0.156,318.0,22.3,-22.3,1.53,0.42,-0.14,856.0,126.94,103.13,-34.34,16.9,1.0,5766.0,155.0,-172.0,4.517,0.06,-0.18,0.853,0.236,-0.079,292.83215,48.21936,15.553
FALSE POSITIVE,0.0,0,1,0,0,23.35534139,2.82e-06,-2.82e-06,169.8339432,9.05e-05,-9.05e-05,0.842,0.009,-0.001,4.60672,0.0069,-0.0069,38500.0,52.6,-52.6,21.55,5.8,-1.93,601.0,30.96,24.58,-8.24,1144.3,1.0,5754.0,156.0,-173.0,4.534,0.035,-0.196,0.905,0.244,-0.081,296.95724,47.55381,15.278
FALSE POSITIVE,0.0,0,0,1,0,0.950735805,2.79e-06,-2.79e-06,131.7794,0.00212,-0.00212,0.57,0.402,-0.368,1.1434,0.0918,-0.0918,175.0,13.0,-13.0,1.39,0.46,-0.16,1908.0,3129.59,3258.85,-1060.03,17.1,1.0,6039.0,217.0,-265.0,4.478,0.056,-0.224,1.005,0.333,-0.111,282.92773,42.80608,15.156
FALSE POSITIVE,0.002,1,0,0,0,19.4444573,0.000736,-0.000736,147.9093,0.03,-0.03,0.634,0.034,-0.484,5.509,0.654,-0.654,182.0,32.1,-32.1,1.53,0.47,-0.2,749.0,74.47,66.87,-26.96,7.1,1.0,6278.0,174.0,-261.0,4.425,0.067,-0.202,1.081,0.329,-0.141,294.504,41.968159,15.835
